[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		32123 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_1C.py
[runlim] start:			Fri Mar 27 12:05:38 2020
[runlim] main pid:		44043
Choosing output 0
Choosing inputs [0, 1, 2]
Academic license - for non-commercial use only
[runlim] sample:		48.1 seconds, 79.9 MB
[runlim] sample:		122.4 seconds, 117.3 MB
[runlim] sample:		196.4 seconds, 118.2 MB
[runlim] sample:		271.1 seconds, 138.1 MB
[runlim] sample:		345.6 seconds, 139.8 MB
[runlim] sample:		419.2 seconds, 148.8 MB
[runlim] sample:		493.8 seconds, 158.6 MB
[runlim] sample:		568.7 seconds, 162.1 MB
[runlim] sample:		642.9 seconds, 165.2 MB
[runlim] sample:		717.5 seconds, 166.4 MB
[runlim] sample:		792.1 seconds, 167.4 MB
[runlim] sample:		865.9 seconds, 169.5 MB
[runlim] sample:		940.5 seconds, 166.3 MB
[runlim] sample:		1014.9 seconds, 167.3 MB
[runlim] sample:		1089.4 seconds, 163.4 MB
[runlim] sample:		1164.4 seconds, 164.5 MB
[runlim] sample:		1239.3 seconds, 165.8 MB
[runlim] sample:		1310.7 seconds, 160.2 MB
[runlim] sample:		1385.5 seconds, 165.3 MB
[runlim] sample:		1459.9 seconds, 169.1 MB
[runlim] sample:		1534.9 seconds, 172.5 MB
[runlim] sample:		1609.5 seconds, 169.6 MB
[runlim] sample:		1684.2 seconds, 166.8 MB
[runlim] sample:		1758.0 seconds, 172.9 MB
[runlim] sample:		1832.9 seconds, 171.4 MB
[runlim] sample:		1907.8 seconds, 171.5 MB
[runlim] sample:		1982.9 seconds, 173.1 MB
[runlim] sample:		2057.5 seconds, 174.4 MB
[runlim] sample:		2132.3 seconds, 174.9 MB
[runlim] sample:		2206.4 seconds, 175.0 MB
[runlim] sample:		2281.6 seconds, 175.6 MB
[runlim] sample:		2356.3 seconds, 175.8 MB
[runlim] sample:		2431.4 seconds, 176.0 MB
[runlim] sample:		2506.1 seconds, 176.7 MB
[runlim] sample:		2580.8 seconds, 177.7 MB
[runlim] sample:		2654.7 seconds, 177.7 MB
