[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		32123 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_1E.py
[runlim] start:			Sat Mar 28 04:33:45 2020
[runlim] main pid:		19945
Choosing output 0
Choosing inputs [0, 1, 2, 3, 4]
Academic license - for non-commercial use only
[runlim] sample:		69.7 seconds, 104.1 MB
[runlim] sample:		143.5 seconds, 118.9 MB
[runlim] sample:		218.3 seconds, 117.6 MB
[runlim] sample:		293.6 seconds, 123.3 MB
[runlim] sample:		369.1 seconds, 134.2 MB
[runlim] sample:		444.6 seconds, 144.0 MB
[runlim] sample:		519.8 seconds, 135.3 MB
[runlim] sample:		594.9 seconds, 146.6 MB
[runlim] sample:		668.4 seconds, 151.1 MB
[runlim] sample:		743.5 seconds, 152.4 MB
[runlim] sample:		818.5 seconds, 147.7 MB
[runlim] sample:		893.9 seconds, 146.1 MB
[runlim] sample:		969.0 seconds, 148.7 MB
[runlim] sample:		1044.1 seconds, 150.1 MB
[runlim] sample:		1117.9 seconds, 150.2 MB
[runlim] sample:		1193.0 seconds, 159.3 MB
[runlim] sample:		1268.2 seconds, 158.9 MB
[runlim] sample:		1343.2 seconds, 158.5 MB
[runlim] sample:		1418.5 seconds, 163.8 MB
[runlim] sample:		1493.7 seconds, 159.0 MB
[runlim] sample:		1567.7 seconds, 159.2 MB
[runlim] sample:		1642.6 seconds, 163.9 MB
[runlim] sample:		1717.8 seconds, 166.1 MB
[runlim] sample:		1793.0 seconds, 164.9 MB
[runlim] sample:		1868.2 seconds, 166.4 MB
[runlim] sample:		1943.1 seconds, 167.9 MB
[runlim] sample:		2017.1 seconds, 166.6 MB
[runlim] sample:		2092.0 seconds, 168.5 MB
[runlim] sample:		2167.1 seconds, 170.7 MB
[runlim] sample:		2242.2 seconds, 172.2 MB
[runlim] sample:		2317.1 seconds, 176.7 MB
[runlim] sample:		2392.1 seconds, 181.6 MB
[runlim] sample:		2465.9 seconds, 182.7 MB
[runlim] sample:		2541.1 seconds, 184.2 MB
[runlim] sample:		2616.1 seconds, 186.6 MB
[runlim] sample:		2691.2 seconds, 186.8 MB
