[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		96618 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_2B.py
[runlim] start:			Wed Mar 25 08:13:05 2020
[runlim] main pid:		17411
Choosing inputs [0, 1]
Academic license - for non-commercial use only
Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
[runlim] sample:		75.8 seconds, 101.2 MB
[runlim] sample:		155.4 seconds, 117.4 MB
[runlim] sample:		235.1 seconds, 124.2 MB
[runlim] sample:		314.7 seconds, 131.3 MB
[runlim] sample:		394.3 seconds, 135.0 MB
[runlim] sample:		473.9 seconds, 137.2 MB
[runlim] sample:		553.6 seconds, 138.4 MB
[runlim] sample:		633.2 seconds, 140.7 MB
[runlim] sample:		712.8 seconds, 141.6 MB
[runlim] sample:		792.4 seconds, 142.8 MB
[runlim] sample:		872.0 seconds, 143.4 MB
[runlim] sample:		951.7 seconds, 143.9 MB
[runlim] sample:		1031.3 seconds, 144.1 MB
[runlim] sample:		1110.9 seconds, 144.4 MB
[runlim] sample:		1190.5 seconds, 144.5 MB
[runlim] sample:		1270.2 seconds, 144.5 MB
[runlim] sample:		1349.8 seconds, 144.5 MB
[runlim] sample:		1429.4 seconds, 144.5 MB
[runlim] sample:		1509.0 seconds, 144.7 MB
[runlim] sample:		1588.6 seconds, 144.9 MB
[runlim] sample:		1668.3 seconds, 146.1 MB
[runlim] sample:		1747.9 seconds, 146.3 MB
[runlim] sample:		1827.5 seconds, 146.4 MB
[runlim] sample:		1907.1 seconds, 146.9 MB
[runlim] sample:		1986.7 seconds, 146.9 MB
[runlim] sample:		2066.4 seconds, 147.6 MB
[runlim] sample:		2146.0 seconds, 147.8 MB
[runlim] sample:		2225.6 seconds, 148.3 MB
[runlim] sample:		2305.2 seconds, 148.6 MB
[runlim] sample:		2384.8 seconds, 148.9 MB
[runlim] sample:		2464.5 seconds, 149.8 MB
[runlim] sample:		2544.1 seconds, 150.0 MB
[runlim] sample:		2623.7 seconds, 150.2 MB
[runlim] sample:		2703.3 seconds, 150.3 MB
[runlim] sample:		2782.9 seconds, 150.4 MB
