input 1: successful attacks = 1, inputs = [['36']], input deviations = [['19.971601864762302']], output change = ['15.430289229615653'], times = [0.0012507438659667969], max_time = 0.0012507438659667969
input 2: successful attacks = 3, inputs = [['36'], ['67'], ['72']], input deviations = [['19.975354500262338'], ['10.227071379420709'], ['8.647628258312162']], output change = ['15.433188558949922', '10.01649162665501', '10.01649162665501'], times = [0.0011775493621826172, 0.0016224384307861328, 0.0014717578887939453], max_time = 0.0016224384307861328
input 3: successful attacks = 2, inputs = [['36'], ['39']], input deviations = [['19.975413302792386'], ['19.47854506450573']], output change = ['15.433233990460792', '14.702809291039102'], times = [0.0011646747589111328, 0.0034203529357910156], max_time = 0.0034203529357910156
input 4: successful attacks = 8, inputs = [['36'], ['37'], ['40'], ['52'], ['63'], ['66'], ['67'], ['72']], input deviations = [['19.975175248670524'], ['9.277617763719496'], ['7.439847280739806'], ['19.967106074183278'], ['19.7043770841877'], ['5.855226165984163'], ['19.929576996235696'], ['9.17686135851642']], output change = ['15.43305006710915', '10.956541405117349', '11.198125633345114', '11.39749071585527', '12.490655969519992', '13.564673039158379', '13.748304291886626', '10.956541405117349'], times = [0.0011875629425048828, 0.0014526844024658203, 0.0015377998352050781, 0.0011703968048095703, 0.004575967788696289, 0.005124092102050781, 0.003261089324951172, 0.0014302730560302734], max_time = 0.005124092102050781
input 5: successful attacks = 15, inputs = [['36'], ['37'], ['40'], ['44'], ['47'], ['50'], ['51'], ['52'], ['61'], ['63'], ['66'], ['67'], ['69'], ['72'], ['73']], input deviations = [['19.97605490108549'], ['8.037065851715205'], ['12.818029113704377'], ['19.140199476237225'], ['9.319801477764452'], ['3.233645021968412'], ['4.211593183609946'], ['19.968501814659724'], ['3.6115339243060784'], ['3.982431574188847'], ['3.972198638671607'], ['14.713179897336936'], ['5.930869068990706'], ['8.883871140089768'], ['4.815463369839198']], output change = ['15.433729696679109', '14.38102836867148', '10.718207510589991', '14.38102836867148', '12.720558139447377', '13.434116128557775', '13.43449083343691', '10.227510058684686', '14.381028368671451', '14.381028368671451', '13.061767282203022', '14.38102836867148', '13.939599204842523', '14.38102836867148', '12.949139170704257'], times = [0.001146554946899414, 0.001344442367553711, 0.0015399456024169922, 0.0020248889923095703, 0.001870870590209961, 0.0032701492309570312, 0.0047762393951416016, 0.002437591552734375, 0.004748821258544922, 0.004045963287353516, 0.005606651306152344, 0.0014119148254394531, 0.004149436950683594, 0.0013458728790283203, 0.005845308303833008], max_time = 0.005845308303833008
input 6: successful attacks = 7, inputs = [['36'], ['38'], ['39'], ['45'], ['62'], ['67'], ['73']], input deviations = [['19.97591161677815'], ['15.020224832660668'], ['19.97536505880449'], ['19.9868234255757'], ['19.985363416560567'], ['19.975083106912646'], ['10.41352829110233']], output change = ['15.433618993575578', '14.790762855071222', '15.060536736993555', '30.51828726405097', '26.990285339635932', '14.875033469120694', '14.262325669031014'], times = [0.0012094974517822266, 0.0019593238830566406, 0.0011446475982666016, 0.001161336898803711, 0.0015053749084472656, 0.002046346664428711, 0.003754854202270508], max_time = 0.003754854202270508
input 7: successful attacks = 1, inputs = [['36']], input deviations = [['19.97534529988369']], output change = ['15.43318145063165'], times = [0.001173257827758789], max_time = 0.001173257827758789
input 8: successful attacks = 1, inputs = [['36']], input deviations = [['19.973421611045666']], output change = ['15.431695186517203'], times = [0.0011811256408691406], max_time = 0.0011811256408691406
input 9: successful attacks = 1, inputs = [['36']], input deviations = [['19.975568622571966']], output change = ['15.43335399230827'], times = [0.0011560916900634766], max_time = 0.0011560916900634766
input 10: successful attacks = 4, inputs = [['36'], ['52'], ['67'], ['73']], input deviations = [['19.97508256153407'], ['19.96371534365297'], ['19.836339557051772'], ['4.818719848641552']], output change = ['15.432978455961887', '10.3102408054298', '16.18194193730281', '11.336137189332192'], times = [0.0011692047119140625, 0.0018239021301269531, 0.003912687301635742, 0.0034570693969726562], max_time = 0.003912687301635742
input 11: successful attacks = 7, inputs = [['36'], ['38'], ['52'], ['67'], ['71'], ['72'], ['73']], input deviations = [['19.975461998882885'], ['10.929033774829218'], ['19.92989456806745'], ['15.066735701064811'], ['19.96844618616478'], ['12.739867023048866'], ['12.65761413440421']], output change = ['15.43327161362015', '11.017133692614578', '16.81006005493643', '13.472412326146952', '11.76541639013638', '13.472412326146952', '20.13421205409935'], times = [0.0012423992156982422, 0.002237558364868164, 0.0050983428955078125, 0.001453399658203125, 0.001154184341430664, 0.0014374256134033203, 0.004092693328857422], max_time = 0.0050983428955078125
