[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		96618 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_1C.py
[runlim] start:			Sun Mar 29 03:45:13 2020
[runlim] main pid:		33288
Choosing inputs [0, 1, 2]
Academic license - for non-commercial use only
I0329 03:45:13.560527 33288 attacksynthesis_1.py:57] Academic license - for non-commercial use only
Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
I0329 03:45:13.560723 33288 attacksynthesis_1.py:57] Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
[runlim] sample:		77.8 seconds, 82.8 MB
[runlim] sample:		157.4 seconds, 86.7 MB
[runlim] sample:		237.1 seconds, 96.4 MB
[runlim] sample:		316.8 seconds, 104.3 MB
[runlim] sample:		396.4 seconds, 108.6 MB
[runlim] sample:		476.1 seconds, 113.3 MB
[runlim] sample:		555.7 seconds, 114.7 MB
[runlim] sample:		635.4 seconds, 116.4 MB
[runlim] sample:		715.0 seconds, 119.0 MB
[runlim] sample:		794.7 seconds, 117.9 MB
[runlim] sample:		874.4 seconds, 123.6 MB
[runlim] sample:		954.0 seconds, 125.6 MB
[runlim] sample:		1033.7 seconds, 126.7 MB
[runlim] sample:		1113.4 seconds, 126.0 MB
[runlim] sample:		1193.0 seconds, 126.0 MB
[runlim] sample:		1272.7 seconds, 127.8 MB
[runlim] sample:		1352.3 seconds, 126.3 MB
[runlim] sample:		1432.0 seconds, 130.4 MB
[runlim] sample:		1511.7 seconds, 132.3 MB
[runlim] sample:		1591.3 seconds, 132.8 MB
[runlim] sample:		1671.0 seconds, 135.1 MB
[runlim] sample:		1750.7 seconds, 136.0 MB
[runlim] sample:		1830.3 seconds, 131.7 MB
[runlim] sample:		1910.0 seconds, 135.0 MB
[runlim] sample:		1989.6 seconds, 136.0 MB
[runlim] sample:		2069.3 seconds, 136.7 MB
[runlim] sample:		2148.9 seconds, 134.2 MB
[runlim] sample:		2228.6 seconds, 134.0 MB
[runlim] sample:		2308.3 seconds, 136.2 MB
[runlim] sample:		2387.9 seconds, 138.4 MB
[runlim] sample:		2467.6 seconds, 138.4 MB
